UserName,FullName,Email,Role
Eyedia,Debjyoti Das,eyedia@eyedia.com,role_super_user
Guest,Guest User,Guest@guest.com,role_guest_user
Essie,Essie Vaill,essie@vaill.com,role_country_mgr
Cruz,Cruz Roudabush,cruz@roudabush.com,role_country_mgr
Billie,Billie Tinnes,billie@tinnes.com,role_country_mgr
Zackary,Zackary Mockus,zackary@mockus.com,role_country_mgr
Rosemarie,Rosemarie Fifield,rosemarie@fifield.com,role_country_mgr
Bernard,Bernard Laboy,bernard@laboy.com,role_country_mgr
Sue,Sue Haakinson,sue@haakinson.com,role_city_mgr
Valerie,Valerie Pou,valerie@pou.com,role_city_mgr
Lashawn,Lashawn Hasty,lashawn@hasty.com,role_city_mgr
Marianne,Marianne Earman,marianne@earman.com,role_city_mgr
Justina,Justina Dragaj,justina@dragaj.com,role_city_mgr
Mandy,Mandy Mcdonnell,mandy@mcdonnell.com,role_city_mgr
Conrad,Conrad Lanfear,conrad@lanfear.com,role_state_mgr
Cyril,Cyril Behen,cyril@behen.com,role_state_mgr
Shelley,Shelley Groden,shelley@groden.com,role_state_mgr
Rosalind,Rosalind Krenzke,rosalind@krenzke.com,role_state_mgr
Davis,Davis Brevard,davis@brevard.com,role_state_mgr
Winnie,Winnie Reich,winnie@reich.com,role_state_mgr
Trudy,Trudy Worlds,trudy@worlds.com,role_state_mgr
Deshawn,Deshawn Inafuku,deshawn@inafuku.com,role_state_mgr
